text,option_1,option_2,option_3,option_4
"Do you consider yourself an artist of any kind? (Music, painting, poetry, etc. all count.)",Yes,No,,
Do you believe reason is more important than emotions in solving problems?,Yes,No,,
"When looking for a mate, do you feel that it's the other person's job to prove himself or herself to you?",Yes,No,,
"Which comes first, family or friends?",Family,Friends,,
Which would you rather choose: peace on Earth or loads of money?,Peace on Earth,Loads of money,,
Are you quick to trust until proven wrong or more slow to trust until worth is proven?,"Quick to trust, until proven wrong.","Slow to trust, until worth is proven.",I don't know.,
Do you get depressed much?,"Almost never, I'm happy!","Sometimes, when it's a bad day","Yeah, despair is my life",
Would you shave something you usually don't because your partner asked you to?,Yes,No,,
Do you like cats?  Would you consider owning a cat as a pet?,"Yes, I would love (or do own) a cat.","I'm not too into them, but I wouldn't mind one.","No, I dislike cats.","I like them, but I'm allergic."
Would you consider sleeping with someone on the first date?,Yes,No,,
Would you date someone who has genital herpes?,Yes,No,,
Which do you cause more of?,Order,Chaos,,
Do you wear deoderant/antiperspirant?,Usually,I mean to but often forget,I prefer to go without,
You're shopping for something and have three versions to choose from. Which do you pick?,The one with the most style.,The one with the most features.,The one with the lowest price.,
Do you think you could still be genuinely happy if you weren't in a relationship with anyone?,Yes,No,,
Which of the following best describes your typical demeanor?,Cheerful!  I have a positive outlook.,Meh. I have my ups and downs.,Annoyed. The world sucks.,
How shy would you say you are?,Very shy,Kind of shy,Not really shy,Not at all shy
Do you enjoy Rap/Hip-Hop?,Yes,No,Some,
Is art important to you?,Yes,No,,
"Do you think that western medicine is better than alternative medicine (such as chiropractic, massage, naturopathy, herbology)?",Yes,"No, they are both valid.","No, Western medicine is too invasive",I don't know
"Other than for costumes, do you purchase and wear second hand/vintage clothes?",Yes,No,,
What percent of the population is NOT physically attractive enough for your taste?,0-25% (few) are not attractive enough,25-50% (some) are not attractive enough,50-75% (many) are not attractive enough,75-100% (most) are not attractive enough
Do you know what the golden spiral is?,Yes,No,,
Could you date someone who already has children from a previous relationship?,Yes,No,,
What makes a better friend?,Quick wit and a mischievous smile,Compassionate nature and a shoulder to support you,,
How should people spell 'women'?,Women,"Womyn, or other feminist spelling revisions",I don't care either way,
"What do you think of the prospect of having sexual intercourse while wearing some type of costume(fur-suit, sci-fi costume, clown suit, whatever).",Yes way,No way,,
Is it okay to recycle other people's jokes and use them as your own?,Yes,No,,
Would you consider dating someone who was regularly seeing a therapist?,Yes,No,,
Does spending Friday or Saturday night at home annoy you?,Yes,No,,
Do you have a car?,Yes,No,,
Do you find it disturbing that products are still tested on animals?,Yes,No,,
Are military uniforms a turn on?,Yes,No,I wear one to work,
Monty Python fans who recite lines back at the TV screen.  Annoying or not?,Yes,No,Depends on the fan,This question is stupid
Are you happy with your life?,Yes,No,,
Are you scared of commitment?,Yes,No,I'm Not Sure,
Trying anything at least once is..,A good idea.,Not for me.,,
Would you date someone who still lives with his/her parents?,Yes,No,,
Sharing a toothbrush with your partner is:,Utterly disgusting,"Okay, sometimes",A sign of closeness,
"Does the fact that you have never done something before, USUALLY increase or decrease its appeal?",Increase,Decrease,,
Have you ever been suicidal?,Yes,No,,
Would you consider a relationship with someone who was sterile?,Yes,No,,
Do you like old black-and-white movies?,"Yes, they're great!","No, they're boring!",I don't know/I haven't seen any,
Have you ever failed a charisma check?,Yes,No,"Yes, with a natural 20.",
Are some of your best friends people you met or know online?,Yes,No,,
"If you dropped a piece of solid food on the floor, might you pick it up and eat it?",Yes,No,,
Do you enjoy chatting on the phone with your friends?,Yes,No,,
"If you're wrong, do you have a hard time apologizing?",Yes,No,,
How would you describe your emotional diversity?,I get extremely happy but rarely depressed,I get extremely depressed and I'm rarely happy,I don't feel much of either,I feel both often
Do you have the kind of body that's so hot it turns heads?,Yes,No,,
Are you good at explaining things?,Yes,No,,
Were you born in the United States?,Yes,No,,
Were you born the same gender as you are now?,Yes,No,,
How energetic are you?,Hyper,Fairly active,Occasionally active,Sedentary
Should sex education be given to children under 15?,Yes,No,I'm Not Sure,
You see a police officer.  How do you feel?,Safe,Nervous,,
Do overweight people annoy you?,Yes,No,,
Do you have an addictive personality?,Yes,No,,
How often do you send greeting cards for holidays and birthdays?,Always,Sometimes,Never,
"Do you usually blurt things out, or do you think carefully before speaking?",Blurt it out,Think carefully,,
Are you a snob about some things?,Yes,No,,
You're in a serious relationship and your partner wants to know about your past relationships. The details are…,None of their business,Absolutely their business,,
Do you laugh when somebody trips and falls?,"Yes, almost always","No, almost never",Occasionally,
Would you date someone who is bisexual?,Yes,No,,
Do you believe in miracles?,Yes,No,,
How would you describe your body?,Slender,Average,Athletic,Voluptuous
Have you ever had an undeniably supernatural experience?,Yes,No,,
"Your partner wants to keep a small, shaved monkey as a pet because it's funny looking.",Cool,"Bad idea, but it's up to them",No way,
Do you have a problem with authority?,Yes,No,,
Would you have sex with someone you hated?,Yes,No,,
Do you think men who are sitting down should stand up when a woman comes to the table/enters the room?,Yes / Usually,No / Not usually,,
"If I saw someone checking out my significant other, I'd feel:",flattered / proud,protective / concerned,unchanged,
Do you think most human instincts can be attributed to evolution?,Yes,No,,
What is the first definition for the word 'composition' that comes to mind?,The makeup of a mixture of ingredients,A piece of music,A piece of writing,An arrangement of visual elements
"Do you talk to and or have conversations with yourself, either outloud or in your head?","Yes, outloud","Yes, in my head","Yes, both","No, neither"
Could you live without the Internet?,Yes,No,,
Do you believe in the term 'meant to be'? As in fate or destiny with another person?,Yes,No,,
"Do you believe that some people can see a person's soul, just by staring into their eyes for a few moments?",Yes,No,,
Homeschooling is...,Something I would do for my kids,Bad,Something I would consider,
Do you feel Art has heavily influenced who you are?,Yes,No,,
"Once you realize that something will be almost impossible to attain, does it become MORE or LESS attractive to you?",More,Less,No effect / I'm not sure,
Are you more likely to hold a grudge or forgive someone?,Hold a grudge,Forgive,,
Would you prefer to live in an old house with character and history or a brand spanking new one?,Old,New,,
"Do you practice or believe in real magick, not to be confused with stage magic and parlor tricks?",Yes,No,,
Are you quietly angry a lot of the time?,Yes,No,,
How much do you procrastinate?,Lots,Some,Not so much,Never
Which best describes your personal feelings about sports?,Sports are a very important part of my life.,I play or watch sports often.,I play or watch sports occasionally.,I don't watch or play sports.
Have you ever attended a political demonstration or convention?,Yes,No,,
"Not ideally, but realistically, do you flock to the 'bad' boys/girls?",Yes,No,,
Do you believe that dreams can be messages from a 'higher level'?,Yes,No,,
You are offered a choice of free training in Martial Arts or Cooking.  Which do you take?,Martial Arts,Cooking,,
Would you enjoy a night in playing video games?,Yes,No,,
Are you fascinated with all things dark and macabre?,Yes,No,I used to be,
Are 'trendy' and 'hip' insults to you?,Yes,No,,
Homemade/handmade gifts are more...,Thoughtful in a good way,Cheap in a bad way,,
Has anyone ever written you a romantic poem?,Yes,No,,
Is VERY short hair on a girl necessarily unattractive?,Yes,No,,
"If someone sends you an e-mail (or has a profile) full of spelling and grammatical errors, are you less likely to talk to them?",Yes,No,,
I talk _____.,Too much. I can't shut up.,A lot,Only when there's something important to say.,When spoken to.
"Would it be useful and ethical to clone the best and brightest of our species, for the common good? (Assuming we can get the success rate pretty high.)",Yes,No,,
Which of these is wrong?,The cat's out of the bag.,The cat's feet are out of the bag.,All the cat's are out of the bag.,None of them! They're all correct!
Fast food is:,Great!,Ok,Disgusting,
Do you tend to be attracted to people who remind you of old loves?,Yes,No,I've never loved,
